juego,n_vars,202104_train_gan_max,202104_train_gan_corte_teorico,202104_train_enviados,202105_test_gan_max,202105_test_gan_corte_teorico,202105_test_enviados,202106_test_gan_max,202106_test_gan_corte_teorico,202106_test_enviados
solo originales,146,551265000.0,547717500.0,12003,208257500.0,185625000.0,11610,296642500.0,286220000.0,10992
originales + historia,217,549037500.0,547827500.0,11359,195002500.0,183177500.0,11579,291032500.0,290895000.0,11022
