prob_baja_2,enviados,TPR,sensibilidad,especificidad,FPR,precision,accuracy,f1,ganancia
1.0,0,0.0,0.0,1.0,0.0,,0.993024423703486,0.0,0.0
0.26732673267326734,404,0.09482001755926252,0.09482001755926252,0.9981744734651083,0.0018255265348916527,0.26732673267326734,0.9918730555351413,0.13998703823720027,107690000.0
0.2564102564102564,638,0.14749780509218613,0.14749780509218613,0.9971013598939221,0.0028986401060778766,0.26332288401253917,0.991174885475613,0.18908272369161508,167255000.0
0.13411078717201166,1324,0.228270412642669,0.228270412642669,0.9934379721853897,0.0065620278146103495,0.19637462235649547,0.9881004874941819,0.21112464474218431,249590000.0
0.10423452768729642,2245,0.3125548726953468,0.3125548726953468,0.9883499337013167,0.01165006629868326,0.15857461024498887,0.9836358736924622,0.21040189125295508,329862500.0
0.07230769230769231,2895,0.353819139596137,0.353819139596137,0.9846310401184125,0.015368959881587485,0.1392055267702936,0.9802307635775703,0.19980168567178977,363687500.0
0.0691114245416079,3604,0.3968393327480246,0.3968393327480246,0.9805606093311542,0.019439390668845813,0.12541620421753608,0.97648881703045,0.19059666877503692,398090000.0
0.0669710806697108,4261,0.4354697102721686,0.4354697102721686,0.9767800425545037,0.02321995744549632,0.11640459985918798,0.9730040910315769,0.1837037037037037,428422500.0
0.05845511482254697,4740,0.46005267778753295,0.46005267778753295,0.9739985815165438,0.026001418483456162,0.11054852320675106,0.9704135126528013,0.1782616091171968,446050000.0
0.05726256983240224,5456,0.49604916593503073,0.49604916593503073,0.969835640938666,0.030164359061333967,0.10355571847507332,0.9665307072340217,0.17134192570128887,471460000.0
0.05603448275862069,5688,0.5074626865671642,0.5074626865671642,0.9684849979956212,0.031515002004378845,0.10161744022503516,0.9652691016878567,0.16932766954738537,479380000.0
0.05339805825242718,5894,0.5171202809482002,0.5171202809482002,0.9672823707175676,0.03271762928243238,0.0999321343739396,0.9641422307145832,0.16749608986207878,485815000.0
